semester,total,female,male,urm_status,rm_status,f_urm,m_urm,f_rm,m_rm,female_percentage,male_percentage,urm_status_percentage,rm_status_percentage,f_urm_percentage,m_urm_percentage,f_rm_percentage,m_rm_percentage
2014-08-01,515,100,415,2,513,1,1,99,414,19.41747572815534,80.58252427184466,0.3883495145631068,99.6116504854369,0.1941747572815534,0.1941747572815534,19.223300970873787,80.3883495145631
2015-01-01,652,127,525,2,650,1,1,126,524,19.478527607361965,80.52147239263803,0.3067484662576687,99.69325153374233,0.15337423312883436,0.15337423312883436,19.32515337423313,80.3680981595092
2015-08-01,588,136,452,8,580,2,6,134,446,23.12925170068027,76.87074829931973,1.3605442176870748,98.63945578231292,0.3401360544217687,1.0204081632653061,22.789115646258505,75.85034013605441
2016-01-01,700,162,538,7,693,2,5,160,533,23.142857142857142,76.85714285714286,1,99,0.2857142857142857,0.7142857142857143,22.857142857142858,76.14285714285714
2016-08-01,538,125,413,4,534,1,3,124,410,23.234200743494423,76.76579925650557,0.7434944237918215,99.25650557620817,0.18587360594795538,0.5576208178438662,23.04832713754647,76.2081784386617
2017-01-01,630,124,506,9,621,3,6,121,500,19.682539682539684,80.31746031746032,1.4285714285714286,98.57142857142858,0.4761904761904762,0.9523809523809524,19.20634920634921,79.36507936507937
2017-08-01,611,143,468,2,609,0,2,143,466,23.404255319148938,76.59574468085107,0.32733224222585927,99.67266775777414,0,0.32733224222585927,23.404255319148938,76.2684124386252
2018-01-01,691,165,526,6,685,3,3,162,523,23.878437047756872,76.12156295224312,0.8683068017366137,99.13169319826338,0.43415340086830684,0.43415340086830684,23.444283646888568,75.68740955137481
2018-08-01,609,143,466,14,595,7,7,136,459,23.48111658456486,76.51888341543514,2.2988505747126435,97.70114942528735,1.1494252873563218,1.1494252873563218,22.33169129720854,75.36945812807882
2019-01-01,771,205,566,12,759,8,4,197,562,26.588845654993516,73.41115434500648,1.556420233463035,98.44357976653697,1.0376134889753565,0.5188067444876783,25.551232166018156,72.8923476005188
2019-08-01,692,197,495,11,681,5,6,192,489,28.468208092485547,71.53179190751445,1.5895953757225432,98.41040462427746,0.7225433526011561,0.8670520231213872,27.74566473988439,70.66473988439307
