seminar_id,region,Seminars
11d1e95d17cd4d2f8f62d812cfb7ca2b,Midwest,1
11d1e95d17cd4d2f8f62d812cfb7ca2b,Northeast,3
11d1e95d17cd4d2f8f62d812cfb7ca2b,West,3
168d4259afdc449a4544f9acc6f57176,Northeast,1
31e7e2afc692fd4259655eda833eecf8,Northeast,1
7b1b105bec6579291e967aba1440c8c0,South,2
7c581e63f92b67bfa9c0b42134ac197d,South,1
8fec34f9af814ce82b4bbbe7a2250460,Midwest,1
8fec34f9af814ce82b4bbbe7a2250460,Northeast,2
905caf155a3c3985dd74653e307d515e,Northeast,2
91609d3674d0d329f60ccfaa3cb16722,South,1
a790b1fb27865fca96e081b5550da120,Northeast,1
aa6cb73991030f9e818fd1a3f360adc1,Northeast,1
aa6cb73991030f9e818fd1a3f360adc1,South,2
aa6cb73991030f9e818fd1a3f360adc1,NA,1
ce0cefcdbb978ff154dbc0160381e1e6,Northeast,3
d50ae6ac1e425f2bb173d8f447f507f4,South,1
e0546f470cd64ba36693f29ed5455f4c,Northeast,2
e0546f470cd64ba36693f29ed5455f4c,South,1
eecd126e71758f44c120c33a651b8604,Northeast,2
eecd126e71758f44c120c33a651b8604,South,1
